"TOA5","CH-DAV_iDL_T1_35_1","CR1000","E7558","CR1000.Std.32.05","CPU:CH-DAV_iDL_T1_35_1.CR1","48867","iDL_T1_35_1_TBL1"
"TIMESTAMP","RECORD","SW_IN_IU_1_1_1","SW_IN_1_1_1","LW_IN_IU_1_1_1","LW_IN_1_1_1","SW_OUT_IU_1_1_1","SW_OUT_1_1_1","LW_OUT_IU_1_1_1","LW_OUT_1_1_1","LW_T_BODY_1_1_1","PPFD_IN_IU_1_1_1","PPFD_IN_1_1_1","PPFD_OUT_IU_1_1_1","PPFD_OUT_1_1_1","PPFD_DIF_1_1_1","SV_LOGGER_T1_35_1","T_LOGGER_T1_35_1","DNTP_LOGGER_T1_35_1","HEAT_HS50_T1B1_35_1_FLAG","HEAT_R350_T1B1_35_1_FLAG","SUN_T1_35_1","LW_IN_RAW_T1_35_2","LW_OUT_RAW_T1_35_2","TA_HEAT_T1_35_1","PPFD_IN_T1_35_3"
"TS","RN","mV","W.meter-2","mV","W.meter-2","mV","W.meter-2","mV","W.meter-2","Deg C","","umol.m-2.s-1","","umol.m-2.s-1","umol.m-2.s-1","V","Deg C","ms","flag","flag","Boolean","W.meter-2","W.meter-2","Deg C","umol.m-2.s-1"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-06-30 00:00:10",3804516,-0.09954028,-9.182683,-0.2696161,365.3179,-0.04493601,-3.541057,-0.1747512,373.738,14.22887,0,0,0,0,0,12.11,18.38,-125,0,0,0,-21.43212,-13.012,12.88707,0
"2022-06-30 00:00:20",3804517,-0.09954028,-9.182683,-0.2636246,365.9059,-0.04493601,-3.541057,-0.1737526,373.9241,14.24959,0,0,0,0,0,12.11,18.38,-125,0,0,0,-20.95585,-12.93764,12.96913,0
"2022-06-30 00:00:30",3804518,-0.09954005,-9.182661,-0.2606329,366.1437,-0.0449367,-3.541111,-0.1747538,373.8495,14.24959,0,0,0,0,0,12.11,18.38,-125,0,0,0,-20.71803,-13.0122,12.84587,0
"2022-06-30 00:00:40",3804519,-0.09954005,-9.182661,-0.2576371,366.3819,-0.04693389,-3.698494,-0.1727567,373.9983,14.24959,0,0,0,0,0,12.07,18.38,-125,0,0,0,-20.47989,-12.86349,12.88734,0
"2022-06-30 00:00:50",3804520,-0.09954005,-9.182661,-0.2556399,366.5406,-0.04893108,-3.855877,-0.1727567,373.9983,14.24959,0,0,0,0,0,12.07,18.38,-125,0,0,0,-20.32114,-12.86349,12.96931,0
"2022-06-30 00:01:00",3804521,-0.09954005,-9.182661,-0.2526441,366.7787,-0.04893108,-3.855877,-0.1737553,373.9239,14.24959,0,0,0,0,0,12.06,18.35,-125,0,0,0,-20.083,-12.93784,12.96931,0
"2022-06-30 00:01:10",3804522,-0.09954005,-9.182661,-0.2516455,366.8581,-0.05092826,-4.01326,-0.1737553,373.9239,14.24959,0,0,0,0,0,12.08,18.38,-125,0,0,0,-20.00362,-12.93784,12.96931,0
"2022-06-30 00:01:20",3804523,-0.09954005,-9.182661,-0.2496483,367.1283,-0.05092826,-4.01326,-0.1707595,374.2584,14.27031,0,0,0,0,0,12.06,18.35,-125,0,0,0,-19.84486,-12.71478,13.01076,0
"2022-06-30 00:01:30",3804524,-0.09954005,-9.182661,-0.2446554,367.5252,-0.04893108,-3.855877,-0.1697609,374.3328,14.27031,0,0,0,0,0,12.08,18.35,-125,0,0,0,-19.44796,-12.64042,12.97017,0
"2022-06-30 00:01:40",3804525,-0.09954005,-9.182661,-0.245654,367.4458,-0.04893108,-3.855877,-0.1707595,374.2584,14.27031,0,0,0,0,0,12.08,18.35,-125,0,0,0,-19.52734,-12.71478,12.97017,0
"2022-06-30 00:01:50",3804526,-0.09954016,-9.182672,-0.2456538,367.4459,-0.04793245,-3.777183,-0.1697607,374.3328,14.27031,0,0,0,0,0,12.05,18.35,-125,0,0,0,-19.52733,-12.64041,12.97054,0
"2022-06-30 00:02:00",3804527,-0.09954016,-9.182672,-0.2446552,367.5252,-0.04693385,-3.698491,-0.1687621,374.4071,14.27031,0,0,0,0,0,12.1,18.35,-125,0,0,0,-19.44795,-12.56606,13.05254,0
"2022-06-30 00:02:10",3804528,-0.09954016,-9.182672,-0.2436566,367.6046,-0.04693385,-3.698491,-0.1707593,374.2584,14.27031,0,0,0,0,0,12.06,18.35,-125,0,0,0,-19.36857,-12.71477,12.97054,0
"2022-06-30 00:02:20",3804529,-0.09954016,-9.182672,-0.2436566,367.6046,-0.04493667,-3.541109,-0.1687621,374.4071,14.27031,0,0,0,0,0,12.1,18.35,-125,0,0,0,-19.36857,-12.56606,12.97054,0
"2022-06-30 00:02:30",3804530,-0.09954016,-9.182672,-0.2446552,367.5252,-0.04293948,-3.383726,-0.166765,374.5558,14.27031,0,0,0,0,0,12.11,18.35,-125,0,0,0,-19.44795,-12.41735,13.05254,0
"2022-06-30 00:02:40",3804531,-0.09954016,-9.182672,-0.242658,367.9073,-0.04293948,-3.383726,-0.1707593,374.4817,14.31175,0,0,0,0,0,12.1,18.35,-125,0,0,0,-19.28919,-12.71477,12.97054,0
"2022-06-30 00:02:50",3804532,-0.09954016,-9.182672,-0.2436566,367.7164,-0.0409423,-3.226343,-0.1717579,374.2958,14.29103,0,0,0,0,0,12.09,18.33,-125,0,0,0,-19.36857,-12.78912,13.05254,0
"2022-06-30 00:03:00",3804533,-0.09954016,-9.182672,-0.2436566,367.8279,-0.0409423,-3.226343,-0.1727565,374.333,14.31175,0,0,0,0,0,12.08,18.35,-125,0,0,0,-19.36857,-12.86348,13.05254,0
"2022-06-30 00:03:10",3804534,-0.09954016,-9.182672,-0.2436566,367.8279,-0.0409423,-3.226343,-0.1717579,374.4073,14.31175,0,0,0,0,0,12.07,18.33,-125,0,0,0,-19.36857,-12.78912,13.05254,0
"2022-06-30 00:03:20",3804535,-0.0995402,-9.182675,-0.2436564,367.8279,-0.04293945,-3.383723,-0.1727564,374.333,14.31175,0,0,0,0,0,12.07,18.33,-125,0,0,0,-19.36855,-12.86347,13.05263,0
"2022-06-30 00:03:30",3804536,-0.1028582,-9.488765,-0.244655,367.8665,-0.04293945,-3.383723,-0.173755,374.3766,14.33366,0,0,0,0,0,12.11,18.33,-125,0,0,0,-19.44793,-12.93782,13.05263,0
"2022-06-30 00:03:40",3804537,-0.1028582,-9.488765,-0.2456536,367.6691,-0.04293945,-3.383723,-0.1717578,374.4073,14.31175,0,0,0,0,0,12.11,18.33,-125,0,0,0,-19.52731,-12.78911,13.05263,0
"2022-06-30 00:03:50",3804538,-0.1028582,-9.488765,-0.2456536,367.6691,-0.04293945,-3.383723,-0.173755,374.2586,14.31175,0,0,0,0,0,12.11,18.33,-125,0,0,0,-19.52731,-12.93782,12.97063,0
"2022-06-30 00:04:00",3804539,-0.1028582,-9.488765,-0.2456536,367.8925,-0.04293945,-3.383723,-0.1747536,374.4076,14.3532,0,0,0,0,0,12.07,18.33,-125,0,0,0,-19.52731,-13.01218,13.05263,0
"2022-06-30 00:04:10",3804540,-0.1028582,-9.488765,-0.2466522,367.8131,-0.04393804,-3.462414,-0.1757521,374.3333,14.3532,0,0,0,0,0,12.11,18.33,-125,0,0,0,-19.60669,-13.08653,13.05263,0
"2022-06-30 00:04:20",3804541,-0.1028582,-9.488765,-0.2476508,367.7337,-0.04493663,-3.541106,-0.1757521,374.3333,14.3532,0,0,0,0,0,12.07,18.33,-125,0,0,0,-19.68607,-13.08653,13.05263,0
"2022-06-30 00:04:30",3804542,-0.1028582,-9.488765,-0.2496479,367.575,-0.04493663,-3.541106,-0.1757521,374.3333,14.3532,0,0,0,0,0,12.11,18.33,-125,0,0,0,-19.84483,-13.08653,13.05263,0
"2022-06-30 00:04:40",3804543,-0.1028578,-9.48873,-0.2506462,367.6074,-0.04493657,-3.541101,-0.1757519,374.4451,14.37395,0,0,0,0,0,12.07,18.33,-125,0,0,0,-19.92418,-13.08652,13.05168,0
"2022-06-30 00:04:50",3804544,-0.1028578,-9.48873,-0.2506462,367.6074,-0.04493657,-3.541101,-0.1757519,374.4451,14.37395,0,0,0,0,0,12.06,18.33,-125,0,0,0,-19.92418,-13.08652,13.13365,0
"2022-06-30 00:05:00",3804545,-0.1028578,-9.48873,-0.248649,367.7662,-0.04493657,-3.541101,-0.1767505,374.3708,14.37395,0,0,0,0,0,12.07,18.3,-125,0,0,0,-19.76542,-13.16087,13.13365,0
"2022-06-30 00:05:10",3804546,-0.1028578,-9.48873,-0.2456532,368.1162,-0.04493657,-3.541101,-0.1777491,374.4083,14.39467,0,0,0,0,0,12.05,18.33,-125,0,0,0,-19.52728,-13.23522,13.01109,0
"2022-06-30 00:05:20",3804547,-0.1028578,-9.48873,-0.2446546,368.1956,-0.04593516,-3.619792,-0.1777491,374.4083,14.39467,0,0,0,0,0,12.08,18.3,-125,0,0,0,-19.4479,-13.23522,13.05168,0
"2022-06-30 00:05:30",3804548,-0.1028578,-9.48873,-0.2436561,368.275,-0.04493657,-3.541101,-0.1767505,374.4827,14.39467,0,0,0,0,0,12.06,18.3,-125,0,0,0,-19.36853,-13.16087,13.05168,0
"2022-06-30 00:05:40",3804549,-0.1028578,-9.48873,-0.2426575,368.3544,-0.04693375,-3.698483,-0.1767505,374.4827,14.39467,0,0,0,0,0,12.07,18.3,-125,0,0,0,-19.28915,-13.16087,13.05168,0
"2022-06-30 00:05:50",3804550,-0.1028578,-9.48873,-0.2416589,368.4337,-0.04693375,-3.698483,-0.1777491,374.4083,14.39467,0,0,0,0,0,12.11,18.3,-125,0,0,0,-19.20977,-13.23522,13.05168,0
"2022-06-30 00:06:00",3804551,-0.1028578,-9.48873,-0.2326716,369.266,-0.04693375,-3.698483,-0.1777491,374.5261,14.41655,0,0,0,0,0,12.08,18.3,-125,0,0,0,-18.49535,-13.23522,13.05177,0
"2022-06-30 00:06:10",3804552,-0.1028579,-9.488734,-0.2296727,369.3866,-0.04693311,-3.698433,-0.1757495,374.5572,14.39467,0,0,0,0,0,12.08,18.3,-125,0,0,0,-18.25697,-13.08634,13.05177,0
"2022-06-30 00:06:20",3804553,-0.1028579,-9.488734,-0.2037097,371.562,-0.04593454,-3.619743,-0.1737524,374.8175,14.41539,0,0,0,0,0,12.07,18.3,-125,0,0,0,-16.19314,-12.93763,12.96977,0
"2022-06-30 00:06:30",3804554,-0.1028579,-9.488734,-0.1947225,372.2764,-0.04493596,-3.541053,-0.1717552,374.9662,14.41539,0,0,0,0,0,12.1,18.3,-125,0,0,0,-15.47873,-12.78892,13.05177,0
"2022-06-30 00:06:40",3804555,-0.1028579,-9.488734,-0.1877325,372.832,-0.04493596,-3.541053,-0.1727538,374.8918,14.41539,0,0,0,0,0,12.06,18.28,-125,0,0,0,-14.92309,-12.86328,13.05177,0
"2022-06-30 00:06:50",3804556,-0.1028579,-9.488734,-0.1807424,373.3877,-0.04693311,-3.698433,-0.1727538,374.8918,14.41539,0,0,0,0,0,12.06,18.28,-125,0,0,0,-14.36744,-12.86328,13.05177,0
"2022-06-30 00:07:00",3804557,-0.1061759,-9.794823,-0.1797438,373.467,-0.04693311,-3.698433,-0.1727538,374.8918,14.41539,0,0,0,0,0,12.1,18.3,-125,0,0,0,-14.28806,-12.86328,13.09328,0
"2022-06-30 00:07:10",3804558,-0.1061759,-9.794823,-0.1797438,373.3555,-0.04893027,-3.855813,-0.1727538,374.7802,14.39467,0,0,0,0,0,12.1,18.28,-125,0,0,0,-14.28806,-12.86328,13.13387,0
"2022-06-30 00:07:20",3804559,-0.1061759,-9.794823,-0.1777467,373.5142,-0.04893027,-3.855813,-0.1727538,374.7802,14.39467,0,0,0,0,0,12.07,18.28,-125,0,0,0,-14.12931,-12.86328,13.05177,0
"2022-06-30 00:07:30",3804560,-0.1061756,-9.794796,-0.1757521,373.6728,-0.04992958,-3.934561,-0.1717578,374.8544,14.39467,0,0,0,0,0,12.06,18.28,-125,0,0,0,-13.97076,-12.78911,13.05104,0
"2022-06-30 00:07:40",3804561,-0.1028576,-9.488708,-0.1737549,373.8315,-0.04893099,-3.85587,-0.1697606,375.0031,14.39467,0,0,0,0,0,12.07,18.28,-125,0,0,0,-13.812,-12.6404,12.96904,0
"2022-06-30 00:07:50",3804562,-0.1061756,-9.794796,-0.1647676,374.5459,-0.04893099,-3.85587,-0.168762,375.0775,14.39467,0,0,0,0,0,12.11,18.28,-125,0,0,0,-13.09759,-12.56604,12.96904,0
"2022-06-30 00:08:00",3804563,-0.1028576,-9.488708,-0.1607733,374.7516,-0.0479324,-3.777179,-0.1677634,375.0399,14.37395,0,0,0,0,0,12.1,18.28,-125,0,0,0,-12.78007,-12.49169,13.13307,0
"2022-06-30 00:08:10",3804564,-0.1028576,-9.488708,-0.1597747,374.8309,-0.04893099,-3.85587,-0.1667648,375.1143,14.37395,0,0,0,0,0,12.1,18.28,-125,0,0,0,-12.70069,-12.41733,13.05183,0
"2022-06-30 00:08:20",3804565,-0.1028576,-9.488708,-0.1587761,374.7985,-0.04893099,-3.85587,-0.1677634,374.9281,14.3532,0,0,0,0,0,12.08,18.28,-125,0,0,0,-12.62131,-12.49169,13.05183,0
"2022-06-30 00:08:30",3804566,-0.1028576,-9.488708,-0.1547817,375.116,-0.04893099,-3.85587,-0.1667648,375.0024,14.3532,0,0,0,0,0,12.07,18.28,-125,0,0,0,-12.30379,-12.41733,13.05183,0
"2022-06-30 00:08:40",3804567,-0.1028576,-9.488708,-0.1517859,375.466,-0.04893099,-3.85587,-0.1667648,375.1143,14.37395,0,0,0,0,0,12.07,18.25,-125,0,0,0,-12.06565,-12.41733,13.05183,0
"2022-06-30 00:08:50",3804568,-0.1028577,-9.488719,-0.1507851,375.4337,-0.04893025,-3.855812,-0.1667623,375.0026,14.3532,0,0,0,0,0,12.1,18.28,-125,0,0,0,-11.9861,-12.41715,13.05217,0
"2022-06-30 00:09:00",3804569,-0.1028577,-9.488719,-0.1477893,375.6718,-0.04893025,-3.855812,-0.1647651,375.1513,14.3532,0,0,0,0,0,12.07,18.28,-125,0,0,0,-11.74796,-12.26844,13.05217,0
"2022-06-30 00:09:10",3804570,-0.1028577,-9.488719,-0.1338093,376.7831,-0.05092741,-4.013192,-0.1637666,375.2257,14.3532,0,0,0,0,0,12.08,18.28,-125,0,0,0,-10.63667,-12.19408,13.05217,0
"2022-06-30 00:09:20",3804571,-0.1028577,-9.488719,-0.1338093,376.6716,-0.04893025,-3.855812,-0.1617694,375.2629,14.3325,0,0,0,0,0,12.07,18.25,-125,0,0,0,-10.63667,-12.04538,13.13426,0
"2022-06-30 00:09:30",3804572,-0.1028577,-9.488719,-0.1358064,376.5128,-0.04893025,-3.855812,-0.1607708,375.3372,14.3325,0,0,0,0,0,12.07,18.25,-125,0,0,0,-10.79542,-11.97102,13.13426,0
"2022-06-30 00:09:40",3804573,-0.1028577,-9.488719,-0.1358064,376.401,-0.04893025,-3.855812,-0.162768,375.0767,14.31175,0,0,0,0,0,12.07,18.25,-125,0,0,0,-10.79542,-12.11973,13.13426,0
"2022-06-30 00:09:50",3804574,-0.1028577,-9.488719,-0.1407993,376.0041,-0.04893025,-3.855812,-0.1577751,375.4485,14.31175,0,0,0,0,0,12.07,18.25,-125,0,0,0,-11.19231,-11.74796,13.13426,0
"2022-06-30 00:10:00",3804575,-0.1028577,-9.488719,-0.1457922,375.6072,-0.04992883,-3.934502,-0.1577751,375.4485,14.31175,0,0,0,0,0,12.07,18.25,-125,0,0,0,-11.5892,-11.74796,13.13426,0
"2022-06-30 00:10:10",3804576,-0.1028577,-9.488719,-0.1447936,375.6866,-0.05092741,-4.013192,-0.1567765,375.5228,14.31175,0,0,0,0,0,12.09,18.25,-125,0,0,0,-11.50983,-11.67361,13.05305,0
"2022-06-30 00:10:20",3804577,-0.1028574,-9.48869,-0.146791,375.4164,-0.0509275,-4.0132,-0.1567768,375.4113,14.29103,0,0,0,0,0,12.11,18.23,-125,0,0,0,-11.6686,-11.67363,13.13341,0
"2022-06-30 00:10:30",3804578,-0.1028574,-9.48869,-0.146791,375.3046,-0.0509275,-4.0132,-0.1567768,375.2996,14.27031,0,0,0,0,0,12.07,18.23,-125,0,0,0,-11.6686,-11.67363,13.17482,0
"2022-06-30 00:10:40",3804579,-0.1028574,-9.48869,-0.1517839,374.9077,-0.05292466,-4.17058,-0.1577754,375.2252,14.27031,0,0,0,0,0,12.06,18.23,-125,0,0,0,-12.0655,-11.74798,13.21541,0
"2022-06-30 00:10:50",3804580,-0.1028574,-9.48869,-0.1547797,374.6696,-0.05292466,-4.17058,-0.1567768,375.2996,14.27031,0,0,0,0,0,12.08,18.23,-125,0,0,0,-12.30363,-11.67363,13.09282,0
"2022-06-30 00:11:00",3804581,-0.1061754,-9.794777,-0.1637669,373.9551,-0.05392324,-4.24927,-0.1577754,375.2252,14.27031,0,0,0,0,0,12.06,18.23,-125,0,0,0,-13.01803,-11.74798,13.17482,0
